iter	Passed	Remaining
335	4663	9216
336	4673	9194
337	4684	9175
338	4696	9157
339	4704	9133
340	4720	9122
341	4735	9111
342	4754	9107
343	4769	9096
344	4788	9090
345	4799	9071
346	4816	9063
347	4834	9057
348	4847	9042
349	4863	9032
350	4882	9026
351	4897	9015
352	4911	9001
353	4926	8990
354	4937	8970
355	4947	8949
356	4958	8931
357	4968	8910
358	4980	8892
359	4991	8873
360	5001	8852
361	5011	8832
362	5022	8813
363	5030	8789
364	5041	8771
365	5052	8752
366	5064	8735
367	5077	8719
368	5091	8707
369	5104	8690
370	5111	8666
371	5124	8650
372	5140	8640
373	5158	8633
374	5177	8629
375	5199	8629
376	5225	8634
377	5239	8620
378	5261	8620
379	5274	8606
380	5290	8595
381	5305	8582
382	5326	8580
383	5346	8577
384	5361	8564
385	5383	8563
386	5397	8549
387	5415	8541
388	5442	8547
389	5454	8531
390	5471	8522
391	5483	8505
392	5502	8498
393	5522	8494
394	5541	8487
395	5556	8474
396	5579	8474
397	5598	8467
398	5622	8469
399	5631	8447
400	5649	8438
401	5663	8425
402	5675	8408
403	5691	8397
404	5709	8388
405	5725	8376
406	5741	8366
407	5755	8351
408	5766	8333
409	5783	8323
410	5799	8310
411	5815	8300
412	5831	8288
413	5846	8275
414	5864	8266
415	5882	8257
416	5898	8246
417	5912	8231
418	5936	8231
419	5953	8220
420	5966	8205
421	5987	8200
422	6011	8199
423	6028	8189
424	6047	8181
425	6062	8168
426	6078	8156
427	6088	8136
428	6104	8124
429	6122	8116
430	6138	8103
431	6153	8091
432	6173	8083
433	6187	8068
434	6208	8063
435	6227	8055
436	6244	8045
437	6261	8033
438	6274	8018
439	6292	8008
440	6308	7996
441	6325	7985
442	6338	7969
443	6359	7963
444	6381	7959
445	6403	7953
446	6421	7943
447	6437	7932
448	6452	7917
449	6467	7905
450	6484	7893
451	6502	7883
452	6518	7870
453	6534	7858
454	6553	7850
455	6570	7838
456	6587	7826
457	6606	7817
458	6627	7811
459	6647	7803
460	6666	7793
461	6682	7781
462	6701	7772
463	6720	7763
464	6736	7750
465	6752	7738
466	6765	7722
467	6783	7710
468	6802	7701
469	6820	7691
470	6840	7683
471	6857	7671
472	6875	7659
473	6892	7649
474	6908	7636
475	6926	7625
476	6945	7615
477	6964	7605
478	6978	7590
479	6997	7580
480	7021	7576
481	7039	7565
482	7059	7556
483	7077	7545
484	7096	7535
485	7112	7522
486	7124	7505
487	7135	7486
488	7146	7468
489	7164	7456
490	7184	7448
491	7208	7443
492	7239	7445
493	7254	7430
494	7277	7424
495	7295	7413
496	7316	7405
497	7345	7404
498	7366	7396
499	7380	7380
500	7399	7369
501	7418	7359
502	7532	7442
503	7568	7448
504	7582	7432
505	7598	7418
506	7648	7437
507	7667	7426
508	7689	7417
509	7709	7407
510	7723	7391
511	7746	7383
512	7766	7372
513	7782	7358
514	7799	7345
515	7823	7337
516	7840	7324
517	7853	7307
518	7872	7296
519	7889	7282
520	7909	7271
521	7928	7260
522	7943	7244
523	7960	7231
524	7976	7216
525	7999	7208
526	8020	7198
527	8040	7187
528	8058	7174
529	8080	7166
530	8096	7151
531	8118	7141
532	8131	7124
533	8152	7114
534	8168	7099
535	8185	7085
536	8212	7080
537	8235	7072
538	8252	7057
539	8270	7044
540	8285	7029
541	8302	7015
542	8318	7000
543	8338	6989
544	8352	6973
545	8370	6959
546	8388	6946
547	8405	6933
548	8418	6915
549	8429	6897
550	8446	6883
551	8465	6870
552	8488	6861
553	8503	6845
554	8518	6830
555	8535	6815
556	8551	6801
557	8572	6790
558	8587	6774
559	8601	6757
560	8616	6742
561	8629	6725
562	8648	6712
563	8661	6695
564	8676	6680
565	8692	6665
566	8711	6653
567	8732	6641
568	8748	6626
569	8766	6613
570	8784	6599
571	8799	6583
572	8818	6571
573	8837	6558
574	8853	6543
575	8874	6532
576	8891	6518
577	8908	6503
578	8922	6488
579	8938	6473
580	8961	6462
581	8977	6447
582	8990	6430
583	9004	6414
584	9026	6403
585	9044	6389
586	9058	6373
587	9075	6359
588	9097	6348
589	9112	6332
590	9129	6318
591	9147	6304
592	9175	6297
593	9186	6279
594	9206	6266
595	9228	6255
596	9243	6239
597	9256	6222
598	9273	6208
599	9287	6191
600	9296	6172
601	9308	6153
602	9320	6136
603	9335	6120
604	9344	6100
605	9357	6084
606	9369	6066
607	9380	6047
608	9389	6028
609	9404	6012
610	9421	5998
611	9435	5982
612	9447	5964
613	9458	5945
614	9468	5927
615	9481	5910
616	9492	5892
617	9507	5876
618	9525	5862
619	9544	5849
620	9558	5833
621	9576	5819
622	9593	5805
623	9610	5790
624	9630	5778
625	9651	5766
626	9670	5753
627	9684	5736
628	9701	5722
629	9720	5708
630	9732	5691
631	9749	5677
632	9766	5662
633	9783	5647
634	9802	5634
635	9821	5620
636	9832	5603
637	9846	5586
638	9862	5572
639	9887	5561
640	9911	5551
641	9932	5538
642	9957	5528
643	9991	5523
644	10008	5508
645	10026	5494
646	10043	5479
647	10061	5465
648	10075	5449
649	10092	5434
650	10110	5420
651	10128	5405
652	10155	5396
653	10176	5383
654	10191	5368
655	10209	5353
656	10229	5340
657	10248	5326
658	10266	5312
659	10285	5298
660	10304	5284
661	10328	5273
662	10350	5261
663	10366	5245
664	10385	5231
665	10403	5217
666	10424	5204
667	10444	5190
668	10463	5176
669	10478	5161
670	10500	5148
671	10515	5132
672	10538	5120
673	10557	5106
674	10576	5092
675	10593	5077
676	10611	5062
677	10628	5047
678	10646	5033
679	10660	5016
680	10675	5000
681	10697	4988
682	10718	4974
683	10727	4956
684	10743	4940
685	10764	4927
686	10778	4910
687	10799	4897
688	10809	4879
689	10824	4863
690	10839	4847
691	10862	4834
692	10874	4817
693	10888	4801
694	10905	4786
695	10921	4770
696	10937	4754
697	10956	4740
698	10973	4725
699	10988	4709
700	11009	4695
701	11036	4685
702	11052	4669
703	11069	4654
704	11086	4638
705	11102	4623
706	11125	4610
707	11140	4594
708	11160	4580
709	11178	4565
710	11194	4550
711	11205	4532
712	11215	4514
713	11234	4500
714	11251	4484
715	11266	4468
716	11284	4453
717	11308	4441
718	11328	4427
719	11344	4411
720	11359	4395
721	11372	4378
722	11380	4360
723	11399	4345
724	11416	4330
725	11426	4312
726	11445	4297
727	11467	4284
728	11493	4272
729	11510	4257
730	11522	4240
731	11540	4225
732	11556	4209
733	11570	4193
734	11588	4178
735	11611	4165
736	11623	4147
737	11644	4134
738	11663	4119
739	11679	4103
740	11697	4088
741	11712	4072
742	11729	4057
743	11746	4041
744	11763	4026
745	11785	4012
746	11804	3998
747	11822	3982
748	11838	3967
749	11857	3952
750	11877	3937
751	11896	3923
752	11922	3910
753	11940	3895
754	11960	3881
755	11977	3865
756	12009	3855
757	12036	3842
758	12059	3829
759	12088	3817
760	12125	3808
761	12154	3796
762	12188	3786
763	12209	3771
764	12242	3760
765	12268	3747
766	12296	3735
767	12311	3719
768	12346	3708
769	12384	3699
770	12429	3691
771	12461	3680
772	12493	3668
773	12575	3671
774	12606	3659
775	12636	3647
776	12656	3632
777	12671	3615
778	12692	3600
779	12722	3588
780	12772	3581
781	12828	3576
782	12865	3565
783	12907	3556
784	12940	3544
785	12956	3527
786	12978	3512
787	13002	3498
788	13016	3480
789	13028	3463
790	13062	3451
791	13101	3440
792	13148	3432
793	13193	3422
794	13210	3406
795	13228	3390
796	13252	3375
797	13276	3360
798	13290	3343
799	13305	3326
800	13328	3311
801	13356	3297
802	13377	3281
803	13403	3267
804	13415	3249
805	13439	3234
806	13456	3218
807	13475	3202
808	13496	3186
809	13521	3171
810	13542	3156
811	13570	3141
812	13608	3130
813	13634	3115
814	13651	3098
815	13676	3083
816	13700	3068
817	13721	3053
818	13741	3036
819	13757	3020
820	13775	3003
821	13800	2988
822	13824	2973
823	13842	2956
824	13862	2940
825	13871	2922
826	13888	2905
827	13911	2889
828	13929	2873
829	13938	2854
830	13953	2837
831	13972	2821
832	13986	2804
833	14004	2787
834	14017	2769
835	14034	2753
836	14051	2736
837	14065	2719
838	14078	2701
839	14097	2685
840	14114	2668
841	14140	2653
842	14160	2637
843	14180	2621
844	14197	2604
845	14215	2587
846	14230	2570
847	14247	2553
848	14266	2537
849	14282	2520
850	14301	2504
851	14324	2488
852	14338	2471
853	14357	2454
854	14376	2438
855	14399	2422
856	14416	2405
857	14431	2388
858	14450	2371
859	14468	2355
860	14483	2338
861	14507	2322
862	14523	2305
863	14543	2289
864	14557	2271
865	14573	2254
866	14585	2237
867	14602	2220
868	14623	2204
869	14645	2188
870	14666	2172
871	14681	2155
872	14698	2138
873	14716	2121
874	14742	2106
875	14758	2089
876	14772	2071
877	14791	2055
878	14807	2038
879	14818	2020
880	14832	2003
881	14852	1987
882	14866	1969
883	14881	1952
884	14894	1935
885	14907	1918
886	14916	1900
887	14926	1882
888	14938	1865
889	14948	1847
890	14963	1830
891	14976	1813
892	14994	1796
893	15010	1779
894	15031	1763
895	15047	1746
896	15063	1729
897	15077	1712
898	15096	1696
899	15109	1678
900	15124	1661
901	15136	1644
902	15151	1627
903	15168	1610
904	15183	1593
905	15199	1576
906	15215	1560
907	15229	1543
908	15249	1526
909	15263	1509
910	15281	1492
911	15296	1476
912	15315	1459
913	15329	1442
914	15344	1425
915	15357	1408
916	15372	1391
917	15388	1374
918	15409	1358
919	15428	1341
920	15458	1326
921	15481	1309
922	15502	1293
923	15525	1276
924	15544	1260
925	15560	1243
926	15582	1227
927	15605	1210
928	15625	1194
929	15636	1176
930	15650	1159
931	15664	1142
932	15679	1125
933	15692	1108
934	15706	1091
935	15721	1074
936	15751	1059
937	15769	1042
938	15788	1025
939	15802	1008
940	15815	991
941	15833	974
942	15850	958
943	15870	941
944	15890	924
945	15907	908
946	15923	891
947	15935	874
948	15953	857
949	15973	840
950	15988	823
951	16022	807
952	16031	790
953	16042	773
954	16053	756
955	16061	739
956	16072	722
957	16086	705
958	16096	688
959	16107	671
960	16118	654
961	16126	637
962	16137	620
963	16149	603
964	16159	586
965	16172	569
966	16184	552
967	16196	535
968	16206	518
969	16216	501
970	16225	484
971	16235	467
972	16243	450
973	16253	433
974	16263	417
975	16273	400
976	16282	383
977	16290	366
978	16300	349
979	16310	332
980	16323	316
981	16333	299
982	16343	282
983	16352	265
984	16363	249
985	16372	232
986	16382	215
987	16391	199
988	16403	182
989	16414	165
990	16423	149
991	16437	132
992	16447	115
993	16454	99
994	16463	82
995	16470	66
996	16480	49
997	16488	33
998	16497	16
999	16504	0
